Name,Governance Type,Governing Body,Governing Body Members,Role,Annual Compensation,Elected or Appointed,Years in Office
AVERYDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Tim Pendleton,Officer/ President,$80,No Data,No Data
AVERYDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Karen Kyser,Director,$0,No Data,No Data
AVERYDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Joanne Kyser,Director,$0,No Data,No Data
AZUSA LIGHT AND WATER,City/ Municipal,City Council,Andrew Mendez,Council Member,"$4,800",Elected,0
AZUSA LIGHT AND WATER,City/ Municipal,City Council,Robert Gonzales,Mayor,"$4,800",No Data,No Data
AZUSA LIGHT AND WATER,City/ Municipal,City Council,Uriel Macias,Mayor Pro Tem,"$4,800",No Data,No Data
AZUSA LIGHT AND WATER,City/ Municipal,City Council,Edward Alvarez,Council Member,"$4,800",No Data,No Data
AZUSA LIGHT AND WATER,City/ Municipal,City Council,Jesse Avila,Council Member,"$4,800",No Data,No Data
BELLFLOWER - SOMERSET MUTUAL WATER CO.,Mutual Water Company,Board of Directors/ Officers,Rick Cook,Vice President,"$10,520",No Data,No Data
BELLFLOWER - SOMERSET MUTUAL WATER CO.,Mutual Water Company,Board of Directors/ Officers,Leo Struiksma,Board Member,"$10,020",No Data,No Data
BELLFLOWER - SOMERSET MUTUAL WATER CO.,Mutual Water Company,Board of Directors/ Officers,Eric Ikeda,President,"$9,830",No Data,No Data
BELLFLOWER - SOMERSET MUTUAL WATER CO.,Mutual Water Company,Board of Directors/ Officers,Cheryl Harris,Director,"$8,330",No Data,No Data
BELLFLOWER - SOMERSET MUTUAL WATER CO.,Mutual Water Company,Board of Directors/ Officers,Jerry Larsen,Secretary/ Treasurer,"$10,333",No Data,No Data
BELLFLOWER HOME GARDENS WATER COMPANY,Mutual Water Company,Board of Directors,Donald J Kotas,President,"$3,000",No Data,No Data
BELLFLOWER HOME GARDENS WATER COMPANY,Mutual Water Company,Board of Directors,Lee Muchow,Secretary/ Treasurer,"$2,400",No Data,No Data
BELLFLOWER HOME GARDENS WATER COMPANY,Mutual Water Company,Board of Directors,Beverly Muchow,Director,"$2,400",No Data,No Data
BELLFLOWER HOME GARDENS WATER COMPANY,Mutual Water Company,Board of Directors,Nate Rucker,Director,"$2,400",No Data,No Data
BELLFLOWER HOME GARDENS WATER COMPANY,Mutual Water Company,Board of Directors,Juan C Becerra,Director,"$2,400",No Data,No Data
BELLFLOWER MUNICIPAL WATER SYSTEM,City/ Municipal,"City Council

",Raymond Y. Hamada,Council Member,"$17,634",Appointed,2
BELLFLOWER MUNICIPAL WATER SYSTEM,City/ Municipal,"City Council

",Juan Garza,"Mayor


","$17,634",Elected,4
BELLFLOWER MUNICIPAL WATER SYSTEM,City/ Municipal,"City Council

",Sonny R. Santa Ines,Council Member,"$17,634",Elected,9
BELLFLOWER MUNICIPAL WATER SYSTEM,City/ Municipal,"City Council

",Dan Koops,"Mayor Pro Tem
","$17,634",Elected,11
BELLFLOWER MUNICIPAL WATER SYSTEM,City/ Municipal,"City Council

",Ray Dunton,Council Member,"$17,634",Elected,13
"BEVERLY HILLS-CITY, WATER DEPT",City/ Municipal,City Council,Lester Friedman,Mayor,"$9,430",Elected,3
"BEVERLY HILLS-CITY, WATER DEPT",City/ Municipal,City Council,Robert Wunderlich,Vice Mayor,"$9,430",Elected,3
"BEVERLY HILLS-CITY, WATER DEPT",City/ Municipal,City Council,Lili Bosse,Councilmember,"$9,430",Elected,9
"BEVERLY HILLS-CITY, WATER DEPT",City/ Municipal,City Council,Julian Gold,Councilmember,"$9,430",Elected,9
"BEVERLY HILLS-CITY, WATER DEPT",City/ Municipal,City Council,John Mirisch,Councilmember,"$9,430",Elected,11
BLEICH FLATS MUTUAL WATER CO,Mutual Water Company,Officers,Kay Hague,Secretary,$0,No Data,No Data
BLEICH FLATS MUTUAL WATER CO,Mutual Water Company,Officers,Richard Hague,Vice President,$0,No Data,No Data
BLEICH FLATS MUTUAL WATER CO,Mutual Water Company,Officers,Jill Moran,Treasurer,$0,No Data,No Data
BLEICH FLATS MUTUAL WATER CO,Mutual Water Company,Officers,Mariann Ruge,Vice President,$0,No Data,No Data
BLEICH FLATS MUTUAL WATER CO,Mutual Water Company,Officers,Jean Skelton,Member At-large,$0,No Data,No Data
"BURBANK-CITY, WATER DEPT",City/ Municipal,City Council,Sharon Springer,Mayor,"$26,187",Elected,3
"BURBANK-CITY, WATER DEPT",City/ Municipal,City Council,Timothy Murphy,Council Member,"$16,536",Appointed,6
"BURBANK-CITY, WATER DEPT",City/ Municipal,City Council,Bob Frutos,Vice Mayor,"$26,283",Elected,7
"BURBANK-CITY, WATER DEPT",City/ Municipal,City Council,Emily Gabel-Luddy,Council Member,"$17,823",Elected,9
"BURBANK-CITY, WATER DEPT",City/ Municipal,City Council,Jess Talamontes,Council Member,"$30,511",Elected,11
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Karl Kurz,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Jeffrey Edwards,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Martha Clark Goss,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Julia Johnson,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Kimberly Harris,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Veronica Hagen,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Patricia Kampling,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Walter Lynch,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,"George McKenzie, Jr.",Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,James Stavridis,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Baldwin Hills,IOU,Board of Directors,Lloyd Yates,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Karl Kurz,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Jeffrey Edwards,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Martha Clark Goss,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Julia Johnson,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Kimberly Harris,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Veronica Hagen,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Patricia Kampling,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Walter Lynch,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,"George McKenzie, Jr.",Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,James Stavridis,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY Duarte,IOU,Board of Directors,Lloyd Yates,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Karl Kurz,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Jeffrey Edwards,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Martha Clark Goss,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Julia Johnson,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Kimberly Harris,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Veronica Hagen,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Patricia Kampling,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Walter Lynch,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,"George McKenzie, Jr.",Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,James Stavridis,Director,No Data,Elected,No Data
CAL-AM WATER COMPANY San Marino,IOU,Board of Directors,Lloyd Yates,Director,No Data,Elected,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Richard Rich,Chief Financial Officer/ Officer,"$9,000",Appointed,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,James Byerrum,President/ Officer,"$266,383",Appointed,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Esmeralda Evangelista,Finance and Admin Manager/ Officer,"$11,649",Appointed,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Linda Noriega,Vice President/ General Manager/ Officer,"$118,314",Appointed,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Ernesto Venegas,Water Superintendent,"$142,960",Appointed,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Richard Jones,Chairman/ Officer,"$9,000",Elected,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Michael Quinn,Vice Chairman/ Officer,"$9,000",Elected,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Jerry Kolb,Vice Chairman/ Officer,"$7,500",Elected,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Thomas Prenovost Jr,Secretary/ Officer,"$9,000",Elected,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Christopher Blake,Director,"$1,500",Elected,No Data
CALIFORNIA DOMESTIC WATER COMPANY,Mutual Water Company,Board of Directors/Officers,John Price,Director,"$9,000",Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Gregory E. Ailiff,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Terry P. Bayer,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Shelly M. Esque,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Martin A. Kropelnicki,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Thomas M. Krummel,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Richard P. Magnuson,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Scott L. Morris,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Peter C. Nelson,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Carol M. Pottenger,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Lester A. Snow,Director,No Data,Elected,No Data
"CALIFORNIA WATER SERVICE CO  Dominguez

",IOU,Board of Directors,Patricia K. Wager,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Gregory E. Ailiff,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Terry P. Bayer,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Shelly M. Esque,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Martin A. Kropelnicki,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Thomas M. Krummel,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Richard P. Magnuson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Scott L. Morris,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Peter C. Nelson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Carol M. Pottenger,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Lester A. Snow,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO East LA,IOU,Board of Directors,Patricia K. Wager,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Gregory E. Ailiff,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Terry P. Bayer,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Shelly M. Esque,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Martin A. Kropelnicki,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Thomas M. Krummel,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Richard P. Magnuson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Scott L. Morris,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Peter C. Nelson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Carol M. Pottenger,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Lester A. Snow,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Herm/Redo,IOU,Board of Directors,Patricia K. Wager,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Gregory E. Ailiff,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Terry P. Bayer,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Shelly M. Esque,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Martin A. Kropelnicki,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Thomas M. Krummel,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Richard P. Magnuson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Scott L. Morris,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Peter C. Nelson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Carol M. Pottenger,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Lester A. Snow,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lake Hughes,IOU,Board of Directors,Patricia K. Wager,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Gregory E. Ailiff,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Terry P. Bayer,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Shelly M. Esque,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Martin A. Kropelnicki,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Thomas M. Krummel,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Richard P. Magnuson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Scott L. Morris,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Peter C. Nelson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Carol M. Pottenger,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Lester A. Snow,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Lancaster,IOU,Board of Directors,Patricia K. Wager,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Gregory E. Ailiff,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Terry P. Bayer,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Shelly M. Esque,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Martin A. Kropelnicki,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Thomas M. Krummel,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Richard P. Magnuson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Scott L. Morris,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Peter C. Nelson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Carol M. Pottenger,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Lester A. Snow,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Leona Valley,IOU,Board of Directors,Patricia K. Wager,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Gregory E. Ailiff,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Terry P. Bayer,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Shelly M. Esque,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Martin A. Kropelnicki,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Thomas M. Krummel,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Richard P. Magnuson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Scott L. Morris,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Peter C. Nelson,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Carol M. Pottenger,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Lester A. Snow,Director,No Data,Elected,No Data
CALIFORNIA WATER SERVICE CO Palos Verdes,IOU,Board of Directors,Patricia K. Wager,Director,No Data,Elected,No Data
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,Martha Camacho-Rodriguez,Director,"$34,538",Elected,2
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,Phillip Hawkins,Director,"$34,538",Elected,4
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,Arturo Chacon,Board Vice President,"$34,538",Elected,8
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,Leticia Vasquez,Board President,"$34,538",Elected,8
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,Robert Apodaca,"Director




 ","$34,538",Elected,20
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,John Oskoui,Appointed Director,"$34,538",Appointed,No Data
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,Vacant,Appointed Director,"$34,538",Appointed,No Data
CENTRAL BASIN MUNICIPAL WATER DISTRICT,Wholesaler,Board of Directors,Vacant,Appointed Director,"$34,538",Appointed,No Data
"CERRITOS - CITY, WATER DEPT",City/ Municipal,City Council,Chuong Vo,"Mayor Pro Tem
","$13,649",Elected,0
"CERRITOS - CITY, WATER DEPT",City/ Municipal,City Council,Frank Aurelio Yokoyama,Council Member,"$13,649",Elected,3
"CERRITOS - CITY, WATER DEPT",City/ Municipal,City Council,Naresh Solanki,"Mayor
","$13,649 ",Elected,5
"CERRITOS - CITY, WATER DEPT",City/ Municipal,City Council,Grace Hu,Council Member,"$13,649",Elected,13
"CERRITOS - CITY, WATER DEPT",City/ Municipal,City Council,Bruce W. Barrows,Council Member,"$13,649",Appointed,22
CITY OF ALHAMBRA,City/ Municipal,City Council,Katherine Lee,Vice Mayor,"$11,044",Elected,2
CITY OF ALHAMBRA,City/ Municipal,City Council,Adele Andrade-Stadler,Councilmember,"$11,044",Elected,2
CITY OF ALHAMBRA,City/ Municipal,City Council,David Mejia,Mayor,"$11,044",Elected,4
CITY OF ALHAMBRA,City/ Municipal,City Council,Jeffrey Koji Maloney,Councilmember,"$11,044",Elected,4
CITY OF ALHAMBRA,City/ Municipal,City Council,Ross Maza,Councilmember,"$11,044",Elected,No Data
CITY OF ARCADIA,City/ Municipal,City Council,Paul Cheng,Council Member,"$6,000",Elected,0
CITY OF ARCADIA,City/ Municipal,City Council,April Verlato,Council Member,"$6,000",Elected,4
CITY OF ARCADIA,City/ Municipal,City Council,Roger Chandler,Mayor,"$6,000",Elected,6
CITY OF ARCADIA,City/ Municipal,City Council,Sho Tay,Mayor Pro Tem,"$6,000",Elected,6
CITY OF ARCADIA,City/ Municipal,City Council,Tom Beck,Council Member,"$6,000",Elected,6
CITY OF INDUSTRY WATERWORKS SYSTEMS,City/ Municipal,City Council,Michael Gruebel,Council Member,"$24,104",Elected,0
CITY OF INDUSTRY WATERWORKS SYSTEMS,City/ Municipal,City Council,Katherine Marcucci,Mayor Pro Tem,"$24,104",Elected,3
CITY OF INDUSTRY WATERWORKS SYSTEMS,City/ Municipal,City Council,Cory Moss,Mayor,"$24,104",Elected,5
CITY OF INDUSTRY WATERWORKS SYSTEMS,City/ Municipal,City Council,Mark Radecki,Council Member,"$24,104",Elected,5
CITY OF INDUSTRY WATERWORKS SYSTEMS,City/ Municipal,City Council,Newell Ruggles,Council Member,"$24,104",Elected,5
CITY OF SOUTH PASADENA,City/ Municipal,City Council,Stephen Rossi,Councilmember,"$3,600",Appointed,0
CITY OF SOUTH PASADENA,City/ Municipal,City Council,Diana Mahmud,Mayor Pro Tem,"$3,600",Elected,5
CITY OF SOUTH PASADENA,City/ Municipal,City Council,Robert Joe,Mayor,"$3,600",Elected,9
CITY OF SOUTH PASADENA,City/ Municipal,City Council,Richard Schneider,Councilmember,"$3,600",Elected,13
CITY OF SOUTH PASADENA,City/ Municipal,City Council,Michael Caccioti,Councilmember,"$3,600",Elected,19
"COMPTON-CITY, WATER DEPT",City/ Municipal,City Council,Michelle Chambers,Council Member,No Data,Elected,1
"COMPTON-CITY, WATER DEPT",City/ Municipal,City Council,Tana McCoy,Council Member,No Data,Appointed,3
"COMPTON-CITY, WATER DEPT",City/ Municipal,City Council,Emma Sharif,Council Member,No Data,Elected,5
"COMPTON-CITY, WATER DEPT",City/ Municipal,City Council,Aja Brown,"Mayor
",No Data,Elected,6
"COMPTON-CITY, WATER DEPT",City/ Municipal,City Council,Isaac Galvan,Council Member,No Data,Elected,7
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Richard Jett,Director,"$31,500",No Data,No Data
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,William McIntyre Jr.,Director,"$30,375",No Data,No Data
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Andrew McIntyre,Director,"$39,375",No Data,No Data
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Richard Rich,Director,"$30,375",No Data,No Data
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Michael Quinn,Vice Chairman,"$30,375",No Data,No Data
COVINA IRRIGATING COMPANY,Mutual Water Company,Board of Directors,Steven Reenders,Chairman,"$58,500",No Data,No Data
